Key,Type,Desc,Chinese,English [en-US],Chinese (Taiwan),,,
anli,Text,,安丽娜,Anna,,,,
task,Text,,任务,Task ,,,,
team,Text,,队伍,Team,,,,
invite,Text,,邀请,Invite,,,,
hangUp,Text,,挂机,HangUp,,,,
wear,Text,,穿戴,Wear,,,,
player,Text,,角色,Role,,,,
chatXXX,Text,,颠三倒四：哪里能打副本？,Topsy-turvy: Where can I play a copy?,,,,
com_txt_00,Text,,正在加载资源,loading resource,,,,
com_txt_01,Text,,登录,Login,,,,
com_txt_02,Text,,登录界面,login interface,,,,
com_txt_03,Text,,注册,Register,,,,
com_txt_04,Text,,进入游戏,enter the game,,,,
com_txt_05,Text,,xxx,22222,,,,
yes,Text,,同意,agree,,,,
no,Text,,拒绝,reject,,,,
confirm,Text,,确定,confirm,,,,
cancel,Text,,取消,Cancel,,,,
zones,Text,,副本,copy,,,,
exitzones,Text,,退出副本,quit copy,,,,
get,Text,,获得,get,,,,
,,,,,,,,
bag,Text,,包裹,pack,,,,
    bag_all,Text,,全部,All,,,,
    bag_use,Text,,使用,Use,,,,
    bag_repair,Text,,修理,repair,,,,
    bag_uninstall,Text,,卸载,uninstall,,,,
    bag_wp,Text,,装备,equipment,,,,
    bag_tool,Text,,道具,props,,,,
    bag_produce,Text,,生产,Production,,,,
    bag_txt_001,Text,,分解,break down,,,,
    bag_txt_002,Text,,出售,Sell,,,,
    bag_txt_003,Text,,整理,Tidy,,,,
    bag_txt_004,Text,,强化,Strengthen,,,,
    bag_txt_005,Text,,装备等级,LevelLimit,,,,
friend,Text,,添加好友,add friend,,,,
    fd_recent,Text,,最近,Recent,,,,
    fd_friend,Text,,好友,Friend,,,,
    fd_gChat,Text,,群聊,group chat,,,,
    fd_allFriend,Text,,全部好友,all friends,,,,
    fd_edit,Text,,编辑,Edit,,,,
    fd_mail,Text,,邮箱,Mail,,,,
    fd_search_Type,Text,,搜索类型,SearchType,,,,
    fd_role_name,Text,,角色名称,Role Name,,,,
    fd_search_result,Text,,搜索结果,search results,,,,
    fd_Not_Finding_Role,Text,,没有找到该人物哦~,The character was not found~,,,,
    fd_Click_Input,Text,,点击这里输入,Click here to enter,,,,
    fd_On_Line,Text,,在线,online,,,,
    fd_On_offline,Text,,在线,offline,,,,
    fd_if_Delete,Text,,是否删除好友,Whether to delete friends,,,,
,,,,,,,,
set,Text,,系统设置,system settings,,,,
    set_account,Text,,账号与角色,Accounts and Roles,,,,
        set_account_0001,Text,,角色描述,role description  ,,,,
        set_account_1001,Text,,隐私策略,Privacy Policy,,,,
        set_account_1002,Text,,切换角色,switch roles,,,,
        set_account_1003,Text,,切换账号,switch account,,,,
        set_account_1004,Text,,脱离卡死,get out of the jam,,,,
        set_account_1005,Text,,用户协议,User Agreement,,,,
        set_account_1006,Text,,退出游戏,exit the game,,,,
        set_account_2001,Text,,信息查询,Information query,,,,
        set_account_2002,Text,,隐私政策,Privacy Policy,,,,
        set_account_2003,Text,,查询用户协议,Query User Agreement,,,,
        set_account_2004,Text,,第三方信息共享清单,Third Party Information Sharing Checklist,,,,
        set_account_2005,Text,,账号注销,Account cancellation,,,,
    set_display,Text,,画面与显示,screen and display,,,,
    set_voice,Text,,语音与好友,Voice and Friends,,,,
    set_operate,Text,,操作与战斗,Operation and Combat,,,,
    set_sound,Text,,语言与音效,language and sound,,,,
        set_txt_sound,Text,,声音,Sound,,,,
        set_slider_001,Text,,音乐音量,music volume,,,,
        set_slider_002,Text,,配音音量,Dubbing volume,,,,
        set_slider_003,Text,,音效音量,sound volume,,,,
        set_btn_default,Text,,回复默认设置,Revert to default settings,,,,
        set_txt_001,Text,,震动,Shock,,,,
        set_txt_002,Text,,普通话,Mandarin,,,,
        set_txt_003,Text,,配音语言,dubbing language,,,,
        set_txt_004,Text,,下载粤语语言包,Download Cantonese Language Pack,,,,
,,,,,,,,
    set_push,Text,,推送与提示,Push and prompt,,,,
    set_language,Text,,语言,Language,,,,
    set_sys,Text,,系统,system,,,,
    set_fast,Text,,快捷,Fast,,,,
map,Text,,地图,Map,,,,
    map_duskwood_0001,Text,,暮色森林,twilight forest,,,,
    map_duskwood_0002,Text,,xxxx,xxxx,,,,
chat,Text,,聊天,to chat with,,,,
    chat_complex,Text,,私聊,AllowMsg,,,,
    chat_royal,Text,,皇家,Royal,,,,
    chat_newbie,Text,,新手,Newbie,,,,
    chat_world,Text,,世界,World,,,,
    chat_guild,Text,,公会,Guild,,,,
    chat_sys,Text,,系统,system,,,,
    chat_txt_001,Text,,滚屏,scroll,,,,
    chat_txt_002,Text,,点击输入内容,Click to enter,,,,
    chat_txt_003,Text,,发送,Send,,,,
team,Text,,队伍,Team,,,,
    team_001,Text,,离开,Leave,,,,
    team_002,Text,,邀请,Invite,,,,
    team_003,Text,,申请,Apply,,,,
    team_004,Text,,邀请你加入队伍,invites you to join the team,,,,
,,,,,,,,
skill,Text,,技能,Skill,,,,
    skill_txt_000,Text,,技能升级,Skill upgrade,,,,
    skill_txt_001,Text,,技能方案,Skills Program,,,,
    skill_txt_008,Text,,武器列表,Weapon List,,,,
    skill_txt_002,Text,,自动战斗设置,Auto battle settings,,,,
    skill_txt_003,Text,,重置技能,reset skills,,,,
    skill_txt_004,Text,,自动攻击,automatic attack,,,,
    skill_txt_005,Text,,技能详情,Skill Details,,,,
    skill_txt_006,Text,,技能参数,Skill parameter,,,,
    skill_txt_007,Text,,此技能无法升级,This skill cannot be upgraded,,,,
    skill_txt_009,Text,,tips:仅点亮当前武器可使用的技能,tips:Only lights up the skills that can be used with the current weapon,,,,
    skill_txt_010,Text,,冷却时间：,cooldown,,,,
    skill_txt_011,Text,,单次伤害：,single damage,,,,
    skill_txt_012,Text,,已学会,learned,,,,
    skill_txt_013,Text,,已升级,upgraded,,,,
attr,Text,,属性,Attributes,,,,
    attr_txt_001,Text,,改名,Rename,,,,
    attr_txt_002,Text,,基础,Base,,,,
    attr_txt_003,Text,,高级,advanced,,,,
    attr_txt_004,Text,,货币,currency,,,,
    attr_txt_005,Text,,信息,information,,,,
    attr_txt_006,Text,,生命,life,,,,
    attr_txt_007,Text,,法力,mana,,,,
    attr_txt_008,Text,,经验,Experience,,,,
    attr_txt_009,Text,,攻击,Attack,,,,
    attr_txt_010,Text,,速度,speed,,,,
    attr_txt_011,Text,,防御,defense,,,,
    attr_txt_012,Text,,暴击伤害,crit damage,,,,
    attr_txt_013,Text,,暴击,crit,,,,
mining_Go,Text,,开始挖矿,start mining,,,,
mining_Stop,Text,,结束挖矿,end mining,,,,
mining_all_time,Text,,今日剩余挖矿时长：,Remaining mining time today,,,,
mining_get_time,Text,,距离下次收益时间：,Time to next earnings:,,,,
main_task,Text,,主线任务,main mission,,,,
other_task,Text,,支线任务,side quests,,,,
dayily_task,Text,,日常任务,daily tasks,,,,
task_target,Text,,目标：,Target:,,,,
task_reward,Text,,奖励：,Raward:,,,,
task_follow_target,Text,,追踪目标,track target,,,,
task_finsh,Text,,已完成,completed,,,,
task_receive_reward,Text,,领取奖励,Receive award,,,,
task_receive,Text,,领取任务,recieve task,,,,
6001,Text,,霍普顿,Hopton,,,,
6002,Text,,凯瑟琳,Katherine,,,,
6003,Text,,汉克,Hank,,,,
6004,Text,,汉斯,Hans,,,,
6005,Text,,波尔多,Bordeaux,,,,
6006,Text,,卓卡克,Drokak,,,,
6007,Text,,阿克亚,Akya,,,,
6008,Text,,古里迪,Guridi,,,,
6009,Text,,瑟兰督伊,Thranduil,,,,
6010,Text,,莱戈拉斯,Legolas,,,,
6011,Text,,凯兰崔尔,Galadriel,,,,
6012,Text,,凯勒鹏,Celeborn,,,,
6013,Text,,丹持,Dan Chi,,,,
6014,Text,,富格,Fugger,,,,
6015,Text,,赭尔,Ochre,,,,
6016,Text,,亨克,Genk,,,,
6017,Text,,矿长亨利,Mine Henry,,,,
npc_title_village_head,Text,,村长,village head,,,,
npc_title_grocery_store,Text,,杂货铺,grocery store,,,,
npc_title_blacksmith,Text,,铁匠,blacksmith,,,,
npc_title_mining,Text,,挖矿,mining,,,,
union,Text,,公会,Union,,,,
    union_name,Text,,公会名称,Guild name,,,,
    union_President,Text,,会长,President,,,,
    union_count,Text,,人数,number of people,,,,
    union_limit,Text,,等级条件,Grade condition,,,,
    union_Create,Text,,创建公会,Create a guild,,,,
    union_leave,Text,,离开公会,leave the guild,,,,
    union_name_search,Text,,输入公会名称检索,Enter guild name to search,,,,
    union_declartion,Text,,公会宣言：,Guild Declaration:,,,,
    union_announcement,Text,,公告,Announcement,,,,
    union_apply,Text,,申请入会,Apply for membership,,,,
    union_apply_state,Text,,申请入会成功,Apply for memebership success,,,,
    union_insignia,Text,,徽章图案,badge pattern,,,,
    union_consume,Text,,消耗：,Consumption:,,,,
    union_level_limit,Text,,等级要求：,Level requirements:,,,,
    union_existing,Text,,已存在此公会名称,This guild name already exists,,,,
    union_material_not,Text,,材料不足，无法创建公会,Insufficient materials to create a guild,,,,
    union_date,Text,,日期,date,,,,
    union_news,Text,,公会动态,Guild Dynamics,,,,
    union_condition,Text,,招募条件,Recruitment conditions,,,,
    union_member,Text,,成员：,Member,,,,
    union_set,Text,,设置,set up,,,,
    union_duplicate,Text,,公会副本,guild copy,,,,
    union_level_lower,Text,,等级下限,Level lower limit,,,,
    union_leve_cap,Text,,等级上限,Level cap,,,,
    union_apply_limit,Text,,申请条件,Application conditions,,,,
    union_auto_limit,Text,,自动同意公会申请,Automatically agree to guild application,,,,
    union_member_name,Text,,成员名称,member name,,,,
    union_level,Text,,等级,Level,,,,
    union_race,Text,,种族,race,,,,
    union_duty,Text,,职务,job title,,,,
    union_state,Text,,状态,state,,,,
    union_member_list,Text,,成员列表,member list,,,,
    union_look_message,Text,,查看信息,View information,,,,
    union_send_message,Text,,发送消息,Send a message,,,,
    union_invite_team,Text,,邀请组队,invite team,,,,
    union_add_friend,Text,,添加好友,Add,,,,
    union_the_transfer,Text,,转让会长,transfer president ,,,,
    union_please_leave,Text,,请离公会,Kick out,,,,
    union_make_over,Text,,是否确定转让会长权限？,Are you sure to transfer the authority of the chairman?,,,,
    union_please_leave_guild,Text,,是否将此玩家请离公会？,Do you want this player to leave the guild?,,,,
    union_fall_short_of,Text,,未达到此公会的招募条件,The recruitment requirements for this guild are not met,,,,
    union_not_accrod_condition1,Text,,未找到符合条件的公会哦~,No matching guild found~,,,,
    union_not_accrod_condition2,Text,,没有符合条件的公会请核实输入是否正确,There are no guilds that meet the conditions, please verify that the input is correct,,,
    union_txt_001,Text,,待审核,pending review,,,,
    union_txt_002,Text,,副会长,Vice president,,,,
    union_txt_003,Text,,骨干,backbone,,,,
    union_txt_004,Text,,修改信息,Modify information,,,,
,,,,,,,,
tipInfoText_240,Text,,240s内击杀所有怪物,240s kill all monsters,,,,
3101,Text,,盾击,Shield strike,,,,
3102,Text,,冲锋,charge,,,,
3103,Text,,大地践踏,Ground Stomp,,,,
3104,Text,,猛击,Bash,,,,
3105,Text,,旋风斩,Whirlwind,,,,
3106,Text,,嗜血,Bloodthirsty,,,,
3107,Text,,山崩地裂,mountains fall and the earth splits,,,,
3108,Text,,新月斩,Crescent chop,,,,
3109,Text,,魔剑,Magic sword,,,,
3110,Text,,崩裂之刃,Broken blade,,,,
3111,Text,,幽冥剑气,Hell Sword,,,,
3112,Text,,精准打击,Precise Strike,,,,
3113,Text,,隐匿,Hide,,,,
3114,Text,,魅影切割,Phantom cutting,,,,
3115,Text,,暗影杀机,Shadow kill,,,,
3116,Text,,快速射击,Quick shot,,,,
3117,Text,,牵制射击,Leg shot,,,,
3118,Text,,鹰击长空,eagles cleaved the sky,,,,
3119,Text,,逃脱,get away,,,,
3120,Text,,乱射,Random shooting,,,,
3121,Text,,火球术,FireBall,,,,
3122,Text,,冰霜箭,Frost arrow,,,,
3123,Text,,陨石术,Meteor,,,,
3124,Text,,冰霜之环,Ring of frost,,,,
3125,Text,,移形换影,Shape shifting and shadow changing,,,,
3126,Text,,治疗术,Therapy,,,,
3127,Text,,连锁治疗,Chain therapy,,,,
3001,Text,,狂暴,Rage,,,,
3003,Text,,坚硬,hard,,,,
3004,Text,,皮糙肉厚,Conjured Health,,,,
3006,Text,,灵巧,dexterous,,,,
3008,Text,,精准,accurate,,,,
3101_Desc,Text,,使用盾牌重击目标,Hit the target with a shield,,,,
3102_Desc,Text,,向目标冲锋，造成伤害,Charge the target and cause damage,,,,
3103_Desc,Text,,汇集全身力气践踏大地，对周围敌人造成伤害,Gather all your strength to trample on the earth and cause damage to the surrounding enemies,,,,
3104_Desc,Text,,向前方区域劈出强力一击,Give a powerful blow to the area ahead,,,,
3105_Desc,Text,,掀起一阵旋风攻击周围敌人,Set off a whirlwind to attack the surrounding enemies,,,,
3106_Desc,Text,,对目标发动强力一击并吸取敌人生命力，回复自身生命值,Launch a powerful attack on the target, absorb the enemy's vitality and restore their own health,,,
3107_Desc,Text,,全力攻击地面，对周围敌人造成伤害,Attack the ground with all strength and cause damage to the surrounding enemies,,,,
3108_Desc,Text,,使用武器划出如同新月的轨迹，对目标造成伤害,Use the weapon to draw a track like a new moon and cause damage to the target,,,,
3109_Desc,Text,,项目标投掷一柄魔剑,Throw a magic sword at the target,,,,
3110_Desc,Text,,旋转身体蓄力过后对目标挥出猛烈一击,Turn your body to accumulate power and then hit the target violently,,,,
3111_Desc,Text,,在4秒内连续发出8道剑气，随机攻击周围范围内的目标，期间可自由移动,Send out 8 sword Qi continuously in 4 seconds to randomly attack targets in the surrounding area. You can move freely during this period,,,,
3112_Desc,Text,,快速使用武器打击敌人，在隐形状态下伤害提高,Use weapons quickly to attack the enemy and increase the damage in the invisible state,,,,
3113_Desc,Text,,在非战斗状态下使用时，会进入隐形状态，敌人无法察觉，且移动速度提升，在战斗状态下使用时，移动速度和攻击力获得提升,When used in the non combat state, it will enter the stealth state, which can not be detected by the enemy, and the movement speed will be increased. When used in the combat state, the movement speed and attack power will be increased
3114_Desc,Text,,挥动武器切割敌人，隐形状态下伤害提高,Wield weapons to cut the enemy and increase the damage in stealth state,,,,
3115_Desc,Text,,瞬移到目标身边，对目标周围进行一次范围攻击，隐形状态下会再次对目标单独释放一次精准打击,Teleport to the target and make a range attack around the target. In the invisible state, it will release a single precision attack on the target,,,
3116_Desc,Text,,快速射击目标4次,Shoot the target 4 times quickly,,,,
3117_Desc,Text,,对目标周围区域释放箭雨,Release arrow rain on the area around the targe,,,,
3118_Desc,Text,,短暂蓄力后射出一只化为巨鹰的箭矢，对前方直线区域内敌人造成伤害,After briefly accumulating power, shoot an arrow that turns into a giant eagle, causing damage to the enemy in the straight line area ahead,,
3119_Desc,Text,,向后跳跃一段距离,Jump back a distance,,,,
3120_Desc,Text,,在前方扇形区域进行快速扫射,Fast fire in the front sector,,,,
3121_Desc,Text,,向目标发射一枚火球,Fire a fireball at the target,,,,
3122_Desc,Text,,发射一枚由寒冰能量凝聚成的箭矢，对目标造成伤害,Launch an arrow condensed by ice energy to deal damage to the target,,,,
3123_Desc,Text,,召唤一颗陨石，对目标范围区域造成伤害,Summon a meteorite and deal damage to the target area,,,,
3124_Desc,Text,,召唤冰霜之力冲击目标及周围区域敌人,Summon the power of frost to attack the target and enemies in the surrounding area,,,,
3125_Desc,Text,,瞬间向前方闪烁一段距离,Flash forward for a distance in an instant,,,,
3126_Desc,Text,,使队友或自身回复血量,Restore health to teammates or yourself,,,,
3127_Desc,Text,,对友方目标及周围区域的友方单位回复生命值,Restore health to friendly units in friendly targets and surrounding areas,,,,
3001_Desc,Text,,激发种族血脉，进入狂暴状态，短时间内提高攻击力,Activate the racial blood, enter the frenzy state, and increase the attack power in a short time,,
3003_Desc,Text,,激发种族血脉，使皮肤变得坚硬，短时间内提高防御力,Stimulate racial blood, make the skin hard and improve defense in a short time,,,
3004_Desc,Text,,挖矿时长提升,Mining duration lifting,,,,
3006_Desc,Text,,激发种族血脉，进一步掌控武器，短时间内提高攻击速度和施法速度,Stimulate racial blood, further control weapons, and increase attack speed and casting speed in a short time,,
3008_Desc,Text,,激发种族血脉，洞察敌人弱点，短时间内提高暴击率,Stimulate the racial blood, gain insight into the enemy's weakness, and increase the critical hit rate in a short time,,
50000,Text,,EXP,EXP,,,,
50001,Text,,果实(小),Fruit (small),,,,
50002,Text,,果实(中),Fruit (medium),,,,
50003,Text,,果实(大),Fruit (large),,,,
50004,Text,,生命之泉,Life Stream,,,,
50005,Text,,铁矿石,Iron ore,,,,
50006,Text,,银矿石,Silver ore,,,,
50007,Text,,金矿石,Gold ore,,,,
50008,Text,,经验卡,Experience card,,,,
50009,Text,,爆率卡,Burst rate card,,,,
50010,Text,,属性卡,Attribute card,,,,
50011,Text,,体力卡,Physical strength card,,,,
50012,Text,,挂机卡,Hang up card,,,,
50013,Text,,随机宝石,Random gem,,,,
50014,Text,,回城宝石,Return gem,,,,
50015,Text,,红宝石,Ruby,,,,
50016,Text,,铁宝箱,Iron treasure chest,,,,
50017,Text,,银宝箱,Silver chest,,,,
50018,Text,,金宝箱,Treasure chest,,,,
50000_Desc,Text,,经验,experience,,,,
50001_Desc,Text,,缓慢恢复最大生命值的20%,Slowly recover 20% of maximum health,,,,
50002_Desc,Text,,缓慢恢复最大生命值的40%,Slowly recover 40% of maximum health,,,,
50003_Desc,Text,,缓慢恢复最大生命值的60%,Slowly recover 60% of maximum health,,,,
50004_Desc,Text,,瞬间回复最大生命值的80%,Instantly restore 80% of maximum health,,,,
50005_Desc,Text,,换取铁宝箱,Exchange for iron treasure chest,,,,
50006_Desc,Text,,换取银宝箱,Exchange for silver treasure chest,,,,
50007_Desc,Text,,换取金宝箱,Exchange for gold chest,,,,
50008_Desc,Text,,提升本级经验的20%,Improve 20% of the experience of this level,,,,
50009_Desc,Text,,提高20%的矿石和红宝石的掉落概率(不提升数量),Increase the drop probability of ore and Ruby by 20% (no increase in quantity),,,,
50010_Desc,Text,,提升15%的所有属性,Increase all attributes by 15%,,,,
50011_Desc,Text,,补充10点体力,Replenish 10 points of physical strength,,,,
50012_Desc,Text,,补充1h挂机时间,Supplement 1H hang up time,,,,
50013_Desc,Text,,传送到随机区域(未到达主城前不可用),Transfer to random area (not available before reaching the main city),,,,
50014_Desc,Text,,传送回主城(未到达主城前不可用),Send back to the main city (not available before reaching the main city),,,,
50015_Desc,Text,,兑换代币,Exchange token,,,,
chest_goods_Desc,Text,,随机生成道具&装备,Randomly generate props & Equipment,,,,
skills_goods_Desc,Text,,学习或升级技能,Learn or upgrade skills,,,,
goods_Use,Text,,使用,Use,,,,
goods_Compose,Text,,合成,Compose,,,,
goods_Open,Text,,打开,Open,,,,
10001,Text,,丛林狼,Coyote,,,,
10002,Text,,变异丛林狼,Mutant Coyote,,,,
10003,Text,,狂暴丛林狼,Wild coyote,,,,
10004,Text,,嗜血黑熊,Bloodthirsty black bear,,,,
10005,Text,,嗜血棕熊,Bloodthirsty brown bear,,,,
10006,Text,,嗜血白熊,Bloodthirsty white bear,,,,
10007,Text,,鱼人守卫,Fishman guard,,,,
10008,Text,,鱼人队长,Captain Fishman,,,,
10009,Text,,苍白女妖,Pale Banshee,,,,
10010,Text,,堕落卫兵,Fallen guard,,,,
10011,Text,,洞穴食人妖,Cave Ogre,,,,
12001,Text,,穆马基尔,Mumakir,,,,
12002,Text,,昂哥立安-游荡者,Angolian - Rogue,,,,
error,Text,,错误,Error,,,,
networkerror,Text,,网络链接失败，请重新登录！,Failed to connect to Binance Chain,Please login!,,,
40001,Text,,破旧的斧头,worn axe,,,,
40002,Text,,破旧的战斧,Worn Battle Axe,,,,
40003,Text,,破旧的长剑,Worn Long Sword,,,,
40004,Text,,破旧的匕首,worn dagger,,,,
40005,Text,,破旧的长弓,worn longbow,,,,
40006,Text,,破旧的法杖,Worn Staff,,,,
40007,Text,,破旧的盾牌,worn shield,,,,
40008,Text,,破旧的皮靴,worn leather boots,,,,
40009,Text,,破旧的皮衣,worn leather jacket,,,,
40010,Text,,破旧的头盔,worn helmet,,,,
40011,Text,,破旧的裤子,worn pants,,,,
40012,Text,,破旧的护手,Worn Gauntlets,,,,
40013,Text,,新兵斧头,recruit axe,,,,
40014,Text,,新兵战斧,Recruit Tomahawk,,,,
40015,Text,,新兵长剑,Recruit Longsword,,,,
40016,Text,,新兵匕首,Recruit Dagger,,,,
40017,Text,,新兵长弓,Recruit Longbow,,,,
40018,Text,,新兵法杖,Recruit Staff,,,,
40019,Text,,新兵盾牌,Recruit Shield,,,,
40020,Text,,新兵皮靴,boots,,,,
40021,Text,,新兵盔甲,Recruit armor,,,,
40022,Text,,新兵头盔,recruit helmet,,,,
40023,Text,,新兵裤子,recruit pants,,,,
40024,Text,,新兵护手,Recruit's Gauntlets,,,,
40025,Text,,精铁斧头,Fine Iron Axe,,,,
40026,Text,,精铁战斧,Iron War Axe,,,,
40027,Text,,精铁长剑,Fine Iron Longsword,,,,
40028,Text,,精铁匕首,Fine Iron Dagger,,,,
40029,Text,,精铁长弓,Fine Iron Longbow,,,,
40030,Text,,精铁法杖,Iron Staff,,,,
40031,Text,,精铁盾牌,Fine Iron Shield,,,,
40032,Text,,精致皮靴,fine leather boots,,,,
40033,Text,,精致皮衣,fine leather jacket,,,,
40034,Text,,精致头盔,Exquisite Helmet,,,,
40035,Text,,精致裤子,delicate trousers,,,,
40036,Text,,精致护手,Delicate Gauntlets,,,,
40037,Text,,精灵王战斧,Elf King Battle Axe,,,,
40038,Text,,精灵王法杖,Elf King Staff,,,,
40039,Text,,精灵王铠甲,Elf King Armor,,,,
Equip_txt_001,Text,,稀有度:,rarity:,,,,
Equip_txt_002,Text,,攻击:,attack:,,,,
Equip_txt_003,Text,,防御:,defense:,,,,
Equip_txt_004,Text,,生命:,life:,,,,
Equip_txt_005,Text,,攻击速度:,attack speed:,,,,
Equip_txt_006,Text,,暴击:,crit:,,,,
Equip_txt_007,Text,,暴击伤害:,crit damage:,,,,
login_failed,Text,,登录失败,Login failed,,,,
input_error,Text,,账号或密码错误,Incorrect username or password,,,,
data_no_exit,Text,,数据不存在,Date does not exist,,,,
illegal_parameter,Text,,非法参数,Illegal parameter,,,,
boss_appears,Text,,boss出现,Boss Appears,,,,
chang_account_title,Text,,是否切换账号？,Switch account?,,,,
Leave_Stuck_Enter,Text,,是否回到安全地点？,Return to a safe place?,,,,
heading_to_destination,Text,,正在前往目的地...,heading to destination...,,,,
Die_txt001,Text,,你已死亡,you are dead,,,,
Die_txt002,Text,,复活,resurrection,,,,
Die_txt003,Text,,10秒后手动复活,Manually revive after 10 seconds,,,,
TP_login,Text,,TP登录,TP login,,,,
Update_content_title,Text,,更新内容,Update Content,,,,
Install_apk,Text,,安装,Install,,,,
Race_txt_001,Text,,人类,Human,,,,
Race_txt_002,Text,,矮人,Dwarf,,,,
Race_txt_003,Text,,精灵,Elf,,,,
Race_txt_004,Text,,兽人,Orc,,,,
unlock_friend_system,Text,,您已解锁好友系统,You have unlocked your friend system,,,,
unlock_dayily_mission,Text,,您已解锁日常任务,You have unlocked daily mission,,,,
unlock_team_system,Text,,您已解锁组队系统,You have unlocked team system,,,,
unlock_union_system,Text,,您已解锁工会系统,You have unlocked union system,,,,
unlock_arena_system,Text,,您已解锁竞技场,You have unlocked arena,,,,
,,,,,,,,
fd_ApplyFirend_Success,Text,,申请成功,ApplyFirend Success,,,,
fd_001,Text,,你们已经是好友了,you are already friends,,,,
fd_002,Text,,添加好友成功,Add friends successfully,,,,
,,,,,,,,
team_005,Text,,邀请列表,Invitation list,,,,
team_006,Text,,已邀请,Invited,,,,
team_007,Text,,你已被请离出队伍,You have been asked to leave the team  ,,,,
team_008,Text,,该玩家已有队伍,This player already has a team,,,,
team_009,Text,,请先退出队伍或者离开副本,Please exit the team or leave the instance first,,,,
team_010,Text,,创建队伍,Create team,,,,
,,,,,,,,
bag_txt_006,Text,,种族限制,Racial Restrictions,,,,
bag_txt_007,Text,,使用道具,Use props,,,,
,,,,,,,,
union_txt_005,Text,,加入公会,Join the guild,,,,
union_txt_006,Text,,修改成功,Modify Success,,,,
union_txt_007,Text,,修改失败,Modify Faild,,,,
